GID_date,Site_ID,GID,GID_gg,GID_hr
80676,,60087,,
80677,,,,60022
80678,,,73266,
80679,,,73266,
80680,60200,,,
80688,10086,,,
80689,10088,,,
80690,10109,,,
80691,10109,,,
80692,10109,,,
80693,10111,,,
80695,10119,,,
80696,10120,,,
80697,10131,,,
80698,10131,,,
80700,,,73270,
80701,,,73271,
80702,,,73273,
80703,,,73272,
80706,10158,,,
80707,10159,,,
80708,10166,,,
80709,10167,,,
80710,10169,,,
80711,10184,,,
80712,60014,,,
80713,60013,,,
80714,60149,,,
80715,10182,,,
80716,,,73276,
80717,,,73278,
80718,,,73277,
80719,10185,,,
80720,10187,,,
80721,10188,,,
80722,,72383,,
80723,,72382,,
80724,,,,71516
80725,,,,71517
80726,,,73281,
80727,,,73282,
80730,,72384,,
80731,,72385,,
80732,,72386,,
80733,,,,71518
80734,,,73285,
80735,,,,71519
80736,,,73284,
80737,,,,71520
80738,,,73283,
80743,10210,,,
80744,10212,,,
80746,10215,,,
80747,10218,,,
80748,10219,,,
80751,10224,,,
80753,10236,,,
80754,,50039,,
80755,10240,,,
80756,10241,,,
80757,10242,,,
80758,10242,,,
80759,,,73288,
80760,,,73287,
80761,,,73286,
80762,10244,,,
80763,10244,,,
80764,10244,,,
80765,10244,,,
80766,,,73289,
80767,,50048,,
80768,,,,71522
80769,,,,71521
80770,,,73290,
80771,30001,,,
80772,30001,,,
80773,,72388,,
80774,,72388,,
80775,,,,71523
80776,,,73291,
80778,,72389,,
80779,,50061,,
80780,,,,71524
80781,,,,71526
80782,,,,71525
80783,,,73293,
80784,,,73294,
80785,,,73295,
80788,30009,,,
80791,,,,71530
80792,,,,71529
80793,,,,71531
80794,,,,71531
80795,,72390,,
80796,,72390,,
80797,,,73298,
80798,,,73298,
80799,,30076,,
80800,,30076,,
80801,,,,71532
80802,,,,71533
80803,,,,71533
80804,,,,71534
80805,,,,71534
80806,,,73299,
80807,,,73299,
80808,,,73300,
80809,,,73300,
80810,,72391,,
80811,,,,71536
80812,,,,71535
80813,,,73301,
80814,,72392,,
80815,,,,71538
80816,,,73302,
80817,,,73303,
80818,,72396,,
80819,,72393,,
80820,,72394,,
80823,,50072,,
80824,,,,71539
80825,,,,71540
80827,,,,71542
80828,,,73307,
80830,,,73306,
80831,,,73305,
80832,,,73304,
80834,,50090,,
80835,,,73310,
80836,,50102,,
80837,,50103,,
80838,,72398,,
80839,,,,71543
80840,,,73311,
80841,,,73312,
80842,,,73313,
80843,,50105,,
80845,,,,71544
80851,,,73316,
80852,,,73315,
80853,,,73314,
80854,,72402,,
80855,,,,71546
80857,,,,71548
80860,,,73323,
80861,,,73324,
80863,,72403,,
80864,,72404,,
80865,,,,71552
80866,,,,71551
80867,,72405,,
80868,,,,71549
80869,,,,71550
80870,,,,71553
80871,,,,71554
80872,,,73328,
80873,,,73325,
80874,,,73329,
80875,,,73326,
80876,,,73330,
80877,,,73327,
80878,,72406,,
80879,,,,71555
80880,,,73331,
80893,50147,,,
80894,,72408,,
80896,,,73337,
80897,,,73338,
80902,,50165,,
80903,,72409,,
80904,,72410,,
80916,,,,71560
80918,,,,71558
80925,,,73347,
80926,,,73348,
80927,,72417,,
80928,,72418,,
80929,,72419,,
80931,,,,71566
80932,,,,71567
80933,,,73349,
80934,,,73350,
80935,,,73351,
80936,,,,71568
80937,,,73352,
80938,,,73353,
80939,,,73354,
80940,,,,71569
80941,,,73355,
80942,,,73356,
80943,,,73357,
80944,,,,71570
80945,,,73358,
80946,,,73359,
80948,,50173,,
80949,,,73361,
80950,,50193,,
80951,,,73362,
80952,,,73363,
80953,,,,70783
80954,,,73364,
80955,,50238,,
80956,,,,71571
80957,,,73365,
80959,,59003,,
80960,,,,71572
80961,,,73367,
80962,,50044,,
80963,,,,71573
80964,,,73368,
80965,,40040,,
80966,,72421,,
80967,,72422,,
80968,,72423,,
80969,,72424,,
80970,,,73371,
80972,,,,71574
80973,,,73372,
80974,,,73374,
80975,,,73375,
80976,,,73376,
80977,,,73377,
80978,,,,71575
80979,,,73378,
80980,,,,71576
80981,,,73379,
80982,,,73380,
80983,,,73381,
80984,,,,71577
80985,72842,,,
80986,,72425,,
80987,,,,71578
80988,,,73382,
80989,,,73383,
80990,72843,,,
80992,,72427,,
80993,,72428,,
80994,,72429,,
80996,,72431,,
80997,,72432,,
80998,,72433,,
80999,,72435,,
81000,,72437,,
81001,,72438,,
81002,,,,71580
81003,,,73385,
81004,,,73386,
81005,,,73387,
81006,,,73388,
81007,,,73389,
81008,,72499,,
81009,,72439,,
81010,,72440,,
81011,,72441,,
81012,,72445,,
81013,,72446,,
81015,,72443,,
81016,,72444,,
81017,,72447,,
81018,,72449,,
81019,,72448,,
81020,,72450,,
81021,,72452,,
81022,,72451,,
81023,,72454,,
81024,,72453,,
81025,,72483,,
81026,,72456,,
81027,,72455,,
81028,,72458,,
81029,,72457,,
81030,,72460,,
81031,,72459,,
81032,,72462,,
81033,,72461,,
81034,,72464,,
81035,,72463,,
81036,,72466,,
81037,,72465,,
81038,,72468,,
81039,,72467,,
81040,,72470,,
81041,,72469,,
81042,,72472,,
81043,,72471,,
81044,,72474,,
81045,,72473,,
81046,,72476,,
81047,,72475,,
81048,,72478,,
81049,,72477,,
81050,,72480,,
81051,,72479,,
81052,,72482,,
81053,,72481,,
81054,,72485,,
81055,,72484,,
81056,,72487,,
81057,,72486,,
81058,,72489,,
81059,,72488,,
81060,,72490,,
81061,,72492,,
81062,,72491,,
81063,,72494,,
81064,,72493,,
81065,,72496,,
81066,,72495,,
81067,,72498,,
81068,,72497,,
81069,,72509,,
81070,,72507,,
81071,,72505,,
81072,,72503,,
81073,,72501,,
81074,,72500,,
81075,,72502,,
